Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;3100000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;3100000000.000000;Hz
Stop;3100000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-56.6475830078125;-56.6475830078125
0.047500000000000001;-56.652191162109375;-56.652191162109375
0.095000000000000001;-56.639480590820313;-56.639480590820313
0.14250000000000002;-56.568897247314453;-56.568897247314453
0.19;-56.634326934814453;-56.634326934814453
0.23749999999999999;-56.665473937988281;-56.665473937988281
0.28499999999999998;-56.602745056152344;-56.602745056152344
0.33249999999999996;-56.604576110839844;-56.604576110839844
0.37999999999999995;-56.653484344482422;-56.653484344482422
0.42749999999999994;-56.6641845703125;-56.6641845703125
0.47499999999999992;-56.659194946289063;-56.659194946289063
0.52249999999999996;-56.669166564941406;-56.669166564941406
0.56999999999999995;-56.690807342529297;-56.690807342529297
0.61749999999999994;-56.615402221679688;-56.615402221679688
0.66499999999999992;-56.705257415771484;-56.705257415771484
0.71249999999999991;-56.666584014892578;-56.666584014892578
0.7599999999999999;-56.75433349609375;-56.75433349609375
0.80749999999999988;-56.709346771240234;-56.709346771240234
0.85499999999999987;-56.708225250244141;-56.708225250244141
0.90249999999999986;-56.698402404785156;-56.698402404785156
0.94999999999999984;-56.653484344482422;-56.653484344482422
0.99749999999999983;-56.567623138427734;-56.567623138427734
1.0449999999999999;-56.52264404296875;-56.52264404296875
1.0925;-56.468376159667969;-56.468376159667969
1.1400000000000001;-56.342071533203125;-56.342071533203125
1.1875000000000002;-56.287162780761719;-56.287162780761719
1.2350000000000003;-56.103343963623047;-56.103343963623047
1.2825000000000004;-56.074207305908203;-56.074207305908203
1.3300000000000005;-55.856441497802734;-55.856441497802734
1.3775000000000006;-55.76605224609375;-55.76605224609375
1.4250000000000007;-55.650001525878906;-55.650001525878906
1.4725000000000008;-55.517936706542969;-55.517936706542969
1.5200000000000009;-55.459171295166016;-55.459171295166016
1.567500000000001;-55.353553771972656;-55.353553771972656
1.6150000000000011;-55.225322723388672;-55.225322723388672
1.6625000000000012;-55.136013031005859;-55.136013031005859
1.7100000000000013;-55.039142608642578;-55.039142608642578
1.7575000000000014;-54.979690551757813;-54.979690551757813
1.8050000000000015;-54.927486419677734;-54.927486419677734
1.8525000000000016;-54.904159545898438;-54.904159545898438
1.9000000000000017;-54.815757751464844;-54.815757751464844
1.9475000000000018;-54.71441650390625;-54.71441650390625
1.9950000000000019;-54.594287872314453;-54.594287872314453
2.0425000000000018;-54.60223388671875;-54.60223388671875
2.0900000000000016;-54.534664154052734;-54.534664154052734
2.1375000000000015;-54.508480072021484;-54.508480072021484
2.1850000000000014;-54.533016204833984;-54.533016204833984
2.2325000000000013;-54.429927825927734;-54.429927825927734
2.2800000000000011;-54.360858917236328;-54.360858917236328
2.327500000000001;-54.397727966308594;-54.397727966308594
2.3750000000000009;-54.390895843505859;-54.390895843505859
2.4225000000000008;-54.317012786865234;-54.317012786865234
2.4700000000000006;-54.382595062255859;-54.382595062255859
2.5175000000000005;-54.33349609375;-54.33349609375
2.5650000000000004;-54.345424652099609;-54.345424652099609
2.6125000000000003;-54.398277282714844;-54.398277282714844
2.6600000000000001;-54.364170074462891;-54.364170074462891
