Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;2700000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;2700000000.000000;Hz
Stop;2700000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-59.120346069335938;-59.120346069335938
0.047500000000000001;-59.162708282470703;-59.162708282470703
0.095000000000000001;-59.116283416748047;-59.116283416748047
0.14250000000000002;-59.1304931640625;-59.1304931640625
0.19;-59.174957275390625;-59.174957275390625
0.23749999999999999;-59.126064300537109;-59.126064300537109
0.28499999999999998;-59.145107269287109;-59.145107269287109
0.33249999999999996;-58.979167938232422;-58.979167938232422
0.37999999999999995;-59.185733795166016;-59.185733795166016
0.42749999999999994;-59.158073425292969;-59.158073425292969
0.47499999999999992;-59.157142639160156;-59.157142639160156
0.52249999999999996;-59.135307312011719;-59.135307312011719
0.56999999999999995;-59.14825439453125;-59.14825439453125
0.61749999999999994;-59.074691772460937;-59.074691772460937
0.66499999999999992;-58.952121734619141;-58.952121734619141
0.71249999999999991;-58.921653747558594;-58.921653747558594
0.7599999999999999;-58.881385803222656;-58.881385803222656
0.80749999999999988;-58.894233703613281;-58.894233703613281
0.85499999999999987;-58.793201446533203;-58.793201446533203
0.90249999999999986;-58.827793121337891;-58.827793121337891
0.94999999999999984;-58.711421966552734;-58.711421966552734
0.99749999999999983;-58.53460693359375;-58.53460693359375
1.0449999999999999;-58.576305389404297;-58.576305389404297
1.0925;-58.540309906005859;-58.540309906005859
1.1400000000000001;-58.484687805175781;-58.484687805175781
1.1875000000000002;-58.437236785888672;-58.437236785888672
1.2350000000000003;-58.262241363525391;-58.262241363525391
1.2825000000000004;-58.269905090332031;-58.269905090332031
1.3300000000000005;-58.320209503173828;-58.320209503173828
1.3775000000000006;-58.344467163085937;-58.344467163085937
1.4250000000000007;-58.298774719238281;-58.298774719238281
1.4725000000000008;-58.285789489746094;-58.285789489746094
1.5200000000000009;-58.421905517578125;-58.421905517578125
1.567500000000001;-58.500076293945313;-58.500076293945313
1.6150000000000011;-58.606868743896484;-58.606868743896484
1.6625000000000012;-58.613857269287109;-58.613857269287109
1.7100000000000013;-58.825977325439453;-58.825977325439453
1.7575000000000014;-58.881198883056641;-58.881198883056641
1.8050000000000015;-59.131603240966797;-59.131603240966797
1.8525000000000016;-59.220184326171875;-59.220184326171875
1.9000000000000017;-59.515972137451172;-59.515972137451172
1.9475000000000018;-59.655735015869141;-59.655735015869141
1.9950000000000019;-59.895343780517578;-59.895343780517578
2.0425000000000018;-60.101486206054688;-60.101486206054688
2.0900000000000016;-60.260665893554688;-60.260665893554688
2.1375000000000015;-60.585147857666016;-60.585147857666016
2.1850000000000014;-60.824676513671875;-60.824676513671875
2.2325000000000013;-60.906475067138672;-60.906475067138672
2.2800000000000011;-61.145309448242187;-61.145309448242187
2.327500000000001;-61.372692108154297;-61.372692108154297
2.3750000000000009;-61.625705718994141;-61.625705718994141
2.4225000000000008;-61.851924896240234;-61.851924896240234
2.4700000000000006;-61.9239501953125;-61.9239501953125
2.5175000000000005;-61.97027587890625;-61.97027587890625
2.5650000000000004;-62.087024688720703;-62.087024688720703
2.6125000000000003;-62.119747161865234;-62.119747161865234
2.6600000000000001;-62.239036560058594;-62.239036560058594
