Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;3100000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;3100000000.000000;Hz
Stop;3100000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-64.960243225097656;-64.960243225097656
0.047500000000000001;-64.79974365234375;-64.79974365234375
0.095000000000000001;-64.842613220214844;-64.842613220214844
0.14250000000000002;-64.774391174316406;-64.774391174316406
0.19;-64.890274047851563;-64.890274047851563
0.23749999999999999;-64.776420593261719;-64.776420593261719
0.28499999999999998;-64.918281555175781;-64.918281555175781
0.33249999999999996;-65.036972045898437;-65.036972045898437
0.37999999999999995;-64.941551208496094;-64.941551208496094
0.42749999999999994;-65.239097595214844;-65.239097595214844
0.47499999999999992;-65.120048522949219;-65.120048522949219
0.52249999999999996;-64.7908935546875;-64.7908935546875
0.56999999999999995;-64.900764465332031;-64.900764465332031
0.61749999999999994;-64.880722045898438;-64.880722045898438
0.66499999999999992;-64.752357482910156;-64.752357482910156
0.71249999999999991;-64.494735717773438;-64.494735717773438
0.7599999999999999;-64.506843566894531;-64.506843566894531
0.80749999999999988;-64.460517883300781;-64.460517883300781
0.85499999999999987;-64.568183898925781;-64.568183898925781
0.90249999999999986;-64.338180541992188;-64.338180541992188
0.94999999999999984;-64.334877014160156;-64.334877014160156
0.99749999999999983;-64.251129150390625;-64.251129150390625
1.0449999999999999;-64.205612182617188;-64.205612182617188
1.0925;-63.978340148925781;-63.978340148925781
1.1400000000000001;-64.000328063964844;-64.000328063964844
1.1875000000000002;-63.778423309326172;-63.778423309326172
1.2350000000000003;-63.8607177734375;-63.8607177734375
1.2825000000000004;-63.570430755615234;-63.570430755615234
1.3300000000000005;-63.491592407226563;-63.491592407226563
1.3775000000000006;-63.552631378173828;-63.552631378173828
1.4250000000000007;-63.477317810058594;-63.477317810058594
1.4725000000000008;-63.400257110595703;-63.400257110595703
1.5200000000000009;-63.551158905029297;-63.551158905029297
1.567500000000001;-63.541996002197266;-63.541996002197266
1.6150000000000011;-63.553905487060547;-63.553905487060547
1.6625000000000012;-63.365543365478516;-63.365543365478516
1.7100000000000013;-63.5394287109375;-63.5394287109375
1.7575000000000014;-63.511280059814453;-63.511280059814453
1.8050000000000015;-63.543453216552734;-63.543453216552734
1.8525000000000016;-63.646282196044922;-63.646282196044922
1.9000000000000017;-63.609848022460938;-63.609848022460938
1.9475000000000018;-63.351821899414063;-63.351821899414063
1.9950000000000019;-63.653144836425781;-63.653144836425781
2.0425000000000018;-63.696636199951172;-63.696636199951172
2.0900000000000016;-63.730636596679687;-63.730636596679687
2.1375000000000015;-63.740543365478516;-63.740543365478516
2.1850000000000014;-63.771049499511719;-63.771049499511719
2.2325000000000013;-63.794460296630859;-63.794460296630859
2.2800000000000011;-63.777305603027344;-63.777305603027344
2.327500000000001;-64.010139465332031;-64.010139465332031
2.3750000000000009;-63.959178924560547;-63.959178924560547
2.4225000000000008;-63.945941925048828;-63.945941925048828
2.4700000000000006;-63.970046997070313;-63.970046997070313
2.5175000000000005;-64.12359619140625;-64.12359619140625
2.5650000000000004;-64.116622924804688;-64.116622924804688
2.6125000000000003;-64.16717529296875;-64.16717529296875
2.6600000000000001;-64.251853942871094;-64.251853942871094
