Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;3100000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;3100000000.000000;Hz
Stop;3100000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-82.322769165039063;-124.22419738769531
0.047500000000000001;-82.906280517578125;-122.61585235595703
0.095000000000000001;-82.356834411621094;-120.78691101074219
0.14250000000000002;-82.311683654785156;-120.13251495361328
0.19;-82.817054748535156;-126.71802520751953
0.23749999999999999;-81.812484741210937;-121.36550140380859
0.28499999999999998;-81.837493896484375;-120.89756774902344
0.33249999999999996;-81.83489990234375;-119.83187103271484
0.37999999999999995;-81.591705322265625;-119.33589935302734
0.42749999999999994;-82.369537353515625;-117.65694427490234
0.47499999999999992;-82.328018188476563;-124.12088012695312
0.52249999999999996;-82.306327819824219;-122.40860748291016
0.56999999999999995;-82.812896728515625;-118.45974731445312
0.61749999999999994;-82.856414794921875;-119.04481506347656
0.66499999999999992;-81.647148132324219;-118.06366729736328
0.71249999999999991;-82.442031860351563;-120.75697326660156
0.7599999999999999;-82.476089477539063;-119.63707733154297
0.80749999999999988;-82.910621643066406;-123.63582611083984
0.85499999999999987;-82.08660888671875;-119.85877990722656
0.90249999999999986;-82.408599853515625;-119.98545074462891
0.94999999999999984;-82.273292541503906;-119.12699890136719
0.99749999999999983;-82.702278137207031;-119.13525390625
1.0449999999999999;-82.542755126953125;-120.09551239013672
1.0925;-82.175163269042969;-123.44371032714844
1.1400000000000001;-82.900421142578125;-118.07098388671875
1.1875000000000002;-82.365699768066406;-119.79612731933594
1.2350000000000003;-82.314781188964844;-119.56730651855469
1.2825000000000004;-82.344512939453125;-122.14753723144531
1.3300000000000005;-82.644775390625;-118.96341705322266
1.3775000000000006;-82.273292541503906;-123.63582611083984
1.4250000000000007;-82.678390502929688;-118.97152709960937
1.4725000000000008;-82.578178405761719;-119.32745361328125
1.5200000000000009;-83.304771423339844;-122.87889862060547
1.567500000000001;-82.347976684570313;-120.55027770996094
1.6150000000000011;-82.420539855957031;-119.412353515625
1.6625000000000012;-82.811752319335937;-117.47074127197266
1.7100000000000013;-82.181854248046875;-117.9981689453125
1.7575000000000014;-82.642044067382813;-120.32939910888672
1.8050000000000015;-83.018890380859375;-129.71209716796875
1.8525000000000016;-83.272903442382813;-120.45355224609375
1.9000000000000017;-82.947074890136719;-118.55970764160156
1.9475000000000018;-82.021148681640625;-118.18134307861328
1.9950000000000019;-82.447486877441406;-119.53263092041016
2.0425000000000018;-82.40618896484375;-125.19728088378906
2.0900000000000016;-80.474449157714844;-118.75525665283203
2.1375000000000015;-82.589736938476562;-119.20995330810547
2.1850000000000014;-82.32861328125;-121.86008453369141
2.2325000000000013;-82.695175170898438;-116.96706390380859
2.2800000000000011;-82.756782531738281;-119.19329833984375
2.327500000000001;-81.44976806640625;-123.55297088623047
2.3750000000000009;-82.974929809570313;-120.54055786132812
2.4225000000000008;-82.576705932617188;-121.3016357421875
2.4700000000000006;-81.876045227050781;-121.50550842285156
2.5175000000000005;-82.435394287109375;-121.25931549072266
2.5650000000000004;-81.751625061035156;-119.82292938232422
2.6125000000000003;-82.322052001953125;-117.63605499267578
2.6600000000000001;-82.605743408203125;-118.93106842041016
