Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;3100000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;3100000000.000000;Hz
Stop;3100000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;1947;
1.2825000000000004;-63.570430755615234;-63.570430755615234
1.3300000000000005;-63.49159240722656;-63.49159240722656
1.3775000000000006;-63.55263137817383;-63.55263137817383
1.4250000000000007;-63.477317810058594;-63.477317810058594
1.4725000000000008;-63.4002571105957;-63.4002571105957
1.520000000000001;-63.5511589050293;-63.5511589050293
1.567500000000001;-63.541996002197266;-63.541996002197266
1.615000000000001;-63.55390548706055;-63.55390548706055
1.6625000000000012;-63.365543365478516;-63.365543365478516
1.7100000000000013;-63.5394287109375;-63.5394287109375
1.7575000000000014;-63.51128005981445;-63.51128005981445
1.8050000000000015;-63.543453216552734;-63.543453216552734
1.8525000000000016;-63.64628219604492;-63.64628219604492
1.9000000000000017;-63.60984802246094;-63.60984802246094
1.9475000000000018;-63.35182189941406;-63.35182189941406
1.9950000000000019;-63.65314483642578;-63.65314483642578
2.0425000000000018;-63.69663619995117;-63.69663619995117
2.0900000000000016;-63.73063659667969;-63.73063659667969
2.1375000000000015;-63.740543365478516;-63.740543365478516
2.1850000000000014;-63.77104949951172;-63.77104949951172
2.2325000000000013;-63.79446029663086;-63.79446029663086
2.280000000000001;-63.777305603027344;-63.777305603027344
2.327500000000001;-64.01013946533203;-64.01013946533203
2.375000000000001;-63.95917892456055;-63.95917892456055
2.4225000000000008;-63.94594192504883;-63.94594192504883
2.4700000000000006;-63.97004699707031;-63.97004699707031
2.5175000000000005;-64.12359619140625;-64.12359619140625
2.5650000000000004;-64.11662292480469;-64.11662292480469
2.6125000000000003;-64.16717529296875;-64.16717529296875
2.66;-64.2518539428711;-64.2518539428711
2.7075;-64.48062133789062;-64.48062133789062
2.755;-64.62989807128906;-64.62989807128906
2.8024999999999998;-64.6061782836914;-64.6061782836914
2.8499999999999996;-64.9483871459961;-64.9483871459961
2.8974999999999995;-65.03330993652344;-65.03330993652344
2.9449999999999994;-65.18254089355469;-65.18254089355469
2.9924999999999993;-65.57910919189453;-65.57910919189453
3.039999999999999;-65.80833435058594;-65.80833435058594
3.087499999999999;-66.15631103515625;-66.15631103515625
3.134999999999999;-66.16124725341797;-66.16124725341797
3.1824999999999988;-66.87574768066406;-66.87574768066406
3.2299999999999986;-67.27272033691406;-67.27272033691406
3.2774999999999985;-67.48355102539062;-67.48355102539062
3.3249999999999984;-67.93220520019531;-67.93220520019531
3.3724999999999983;-68.22431182861328;-68.22431182861328
3.419999999999998;-68.36004638671875;-68.36004638671875
3.467499999999998;-68.7288589477539;-68.7288589477539
3.514999999999998;-68.97193145751953;-68.97193145751953
3.562499999999998;-68.97521209716797;-68.97521209716797
3.6099999999999977;-68.8786392211914;-68.8786392211914
3.6574999999999975;-68.79772186279297;-68.79772186279297
3.7049999999999974;-68.50144958496094;-68.50144958496094
3.7524999999999973;-67.95081329345703;-67.95081329345703
3.799999999999997;-67.81456756591797;-67.81456756591797
3.847499999999997;-67.662109375;-67.662109375
3.894999999999997;-67.51190185546875;-67.51190185546875
3.942499999999997;-67.00019073486328;-67.00019073486328
3.9899999999999967;-67.02255249023438;-67.02255249023438
