Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;3100000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;3100000000.000000;Hz
Stop;3100000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;1905;
1.9475000000000018;-54.71441650390625;-54.71441650390625
1.9950000000000019;-54.59428787231445;-54.59428787231445
2.0425000000000018;-54.60223388671875;-54.60223388671875
2.0900000000000016;-54.534664154052734;-54.534664154052734
2.1375000000000015;-54.508480072021484;-54.508480072021484
2.1850000000000014;-54.533016204833984;-54.533016204833984
2.2325000000000013;-54.429927825927734;-54.429927825927734
2.280000000000001;-54.36085891723633;-54.36085891723633
2.327500000000001;-54.397727966308594;-54.397727966308594
2.375000000000001;-54.39089584350586;-54.39089584350586
2.4225000000000008;-54.317012786865234;-54.317012786865234
2.4700000000000006;-54.38259506225586;-54.38259506225586
2.5175000000000005;-54.33349609375;-54.33349609375
2.5650000000000004;-54.34542465209961;-54.34542465209961
2.6125000000000003;-54.398277282714844;-54.398277282714844
2.66;-54.36417007446289;-54.36417007446289
2.7075;-54.35314178466797;-54.35314178466797
2.755;-54.37651062011719;-54.37651062011719
2.8024999999999998;-54.314815521240234;-54.314815521240234
2.8499999999999996;-54.364356994628906;-54.364356994628906
2.8974999999999995;-54.3582878112793;-54.3582878112793
2.9449999999999994;-54.36988067626953;-54.36988067626953
2.9924999999999993;-54.299278259277344;-54.299278259277344
3.039999999999999;-54.25831985473633;-54.25831985473633
3.087499999999999;-54.21186447143555;-54.21186447143555
3.134999999999999;-54.249603271484375;-54.249603271484375
3.1824999999999988;-54.138328552246094;-54.138328552246094
3.2299999999999986;-54.11949157714844;-54.11949157714844
3.2774999999999985;-53.99605941772461;-53.99605941772461
3.3249999999999984;-53.94357681274414;-53.94357681274414
3.3724999999999983;-53.888126373291016;-53.888126373291016
3.419999999999998;-53.819679260253906;-53.819679260253906
3.467499999999998;-53.67973327636719;-53.67973327636719
3.514999999999998;-53.72600555419922;-53.72600555419922
3.562499999999998;-53.590179443359375;-53.590179443359375
3.6099999999999977;-53.58578109741211;-53.58578109741211
3.6574999999999975;-53.528438568115234;-53.528438568115234
3.7049999999999974;-53.43024444580078;-53.43024444580078
3.7524999999999973;-53.40966033935547;-53.40966033935547
3.799999999999997;-53.35039520263672;-53.35039520263672
3.847499999999997;-53.29638671875;-53.29638671875
3.894999999999997;-53.23330307006836;-53.23330307006836
3.942499999999997;-53.22980880737305;-53.22980880737305
3.9899999999999967;-53.18710708618164;-53.18710708618164
4.037499999999997;-53.12123489379883;-53.12123489379883
4.084999999999997;-53.11418533325195;-53.11418533325195
4.132499999999998;-53.093814849853516;-53.093814849853516
4.179999999999998;-53.0637092590332;-53.0637092590332
4.227499999999998;-53.072383880615234;-53.072383880615234
4.274999999999999;-53.083274841308594;-53.083274841308594
4.322499999999999;-53.11733627319336;-53.11733627319336
4.369999999999999;-53.139705657958984;-53.139705657958984
4.4174999999999995;-53.14552688598633;-53.14552688598633
4.465;-53.18582534790039;-53.18582534790039
4.5125;-53.23091125488281;-53.23091125488281
4.5600000000000005;-53.22925567626953;-53.22925567626953
4.607500000000001;-53.31010055541992;-53.31010055541992
4.655000000000001;-53.402687072753906;-53.402687072753906
4.7025000000000015;-53.46046829223633;-53.46046829223633
