Type;ESR-7
Version;3.48
Date;15.Oct 25
Mode;ANALYZER
Center Freq;3100000000.000000
Freq Offset;0.000000
Span;0.000000
x-Axis;LIN
Start;3100000000.000000
Stop;3100000000.000000
Ref Level;-5.000000
Level Offset;0.000000
Ref Position;100.000000
y-Axis;LOG
Level Range;100.000000
Rf Att;15.000000
El Att;0.000000
RBW;100000.000000
VBW;100000.000000
SWT;95.000000
Trace Mode;CLR/WRITE
Detector;AUTOPEAK
Sweep Count;0
x-Unit;s
y-Unit;dBm
Preamplifier;OFF
Transducer;OFF
Values;2001;
0.0;-52.876155853271484;-52.876155853271484
0.0475;-52.87467956542969;-52.87467956542969
0.095;-52.81990051269531;-52.81990051269531
0.14250000000000002;-52.8861198425293;-52.8861198425293
0.19;-52.90737533569336;-52.90737533569336
0.2375;-52.87836837768555;-52.87836837768555
0.285;-52.864723205566406;-52.864723205566406
0.33249999999999996;-52.90645217895508;-52.90645217895508
0.37999999999999995;-52.868961334228516;-52.868961334228516
0.42749999999999994;-52.90867614746094;-52.90867614746094
0.4749999999999999;-52.892398834228516;-52.892398834228516
0.5225;-52.896278381347656;-52.896278381347656
0.57;-52.87892150878906;-52.87892150878906
0.6174999999999999;-52.90496826171875;-52.90496826171875
0.6649999999999999;-52.87430953979492;-52.87430953979492
0.7124999999999999;-52.8838996887207;-52.8838996887207
0.7599999999999999;-52.8838996887207;-52.8838996887207
0.8074999999999999;-52.89369201660156;-52.89369201660156
0.8549999999999999;-52.87007141113281;-52.87007141113281
0.9024999999999999;-52.91552734375;-52.91552734375
0.9499999999999998;-52.83732604980469;-52.83732604980469
0.9974999999999998;-52.80488967895508;-52.80488967895508
1.045;-52.862884521484375;-52.862884521484375
1.0925;-52.89442825317383;-52.89442825317383
1.1400000000000001;-52.85828399658203;-52.85828399658203
1.1875000000000002;-52.84687805175781;-52.84687805175781
1.2350000000000003;-52.91089630126953;-52.91089630126953
1.2825000000000004;-52.891658782958984;-52.891658782958984
1.3300000000000005;-52.90571594238281;-52.90571594238281
1.3775000000000006;-52.87984085083008;-52.87984085083008
1.4250000000000007;-52.92906188964844;-52.92906188964844
1.4725000000000008;-52.95798873901367;-52.95798873901367
1.520000000000001;-52.91737747192383;-52.91737747192383
1.567500000000001;-52.97804641723633;-52.97804641723633
1.615000000000001;-53.01811218261719;-53.01811218261719
1.6625000000000012;-53.07847595214844;-53.07847595214844
1.7100000000000013;-53.151893615722656;-53.151893615722656
1.7575000000000014;-53.185462951660156;-53.185462951660156
1.8050000000000015;-53.2640495300293;-53.2640495300293
1.8525000000000016;-53.314552307128906;-53.314552307128906
1.9000000000000017;-53.40800857543945;-53.40800857543945
1.9475000000000018;-53.413333892822266;-53.413333892822266
1.9950000000000019;-53.487281799316406;-53.487281799316406
2.0425000000000018;-53.56163024902344;-53.56163024902344
2.0900000000000016;-53.538089752197266;-53.538089752197266
2.1375000000000015;-53.58156967163086;-53.58156967163086
2.1850000000000014;-53.61091995239258;-53.61091995239258
2.2325000000000013;-53.64719772338867;-53.64719772338867
2.280000000000001;-53.672882080078125;-53.672882080078125
2.327500000000001;-53.69716262817383;-53.69716262817383
2.375000000000001;-53.66012191772461;-53.66012191772461
2.4225000000000008;-53.6799201965332;-53.6799201965332
2.4700000000000006;-53.64442825317383;-53.64442825317383
2.5175000000000005;-53.730751037597656;-53.730751037597656
2.5650000000000004;-53.79116439819336;-53.79116439819336
2.6125000000000003;-53.80072021484375;-53.80072021484375
2.66;-53.86625289916992;-53.86625289916992
2.7075;-53.89630889892578;-53.89630889892578
2.755;-53.972900390625;-53.972900390625
2.8024999999999998;-53.97675704956055;-53.97675704956055
2.8499999999999996;-53.93479537963867;-53.93479537963867
2.8974999999999995;-53.947967529296875;-53.947967529296875
2.9449999999999994;-53.917266845703125;-53.917266845703125
2.9924999999999993;-53.867549896240234;-53.867549896240234
3.039999999999999;-53.88794708251953;-53.88794708251953
3.087499999999999;-53.88498306274414;-53.88498306274414
3.134999999999999;-53.77244186401367;-53.77244186401367
3.1824999999999988;-53.78271484375;-53.78271484375
3.2299999999999986;-53.745906829833984;-53.745906829833984
3.2774999999999985;-53.743896484375;-53.743896484375
3.3249999999999984;-53.759620666503906;-53.759620666503906
3.3724999999999983;-53.7779426574707;-53.7779426574707
3.419999999999998;-53.809181213378906;-53.809181213378906
3.467499999999998;-53.91216278076172;-53.91216278076172
3.514999999999998;-53.979331970214844;-53.979331970214844
3.562499999999998;-54.005271911621094;-54.005271911621094
3.6099999999999977;-54.049983978271484;-54.049983978271484
3.6574999999999975;-54.125160217285156;-54.125160217285156
3.7049999999999974;-54.153533935546875;-54.153533935546875
3.7524999999999973;-54.206138610839844;-54.206138610839844
3.799999999999997;-54.22867965698242;-54.22867965698242
3.847499999999997;-54.17280960083008;-54.17280960083008
3.894999999999997;-54.20392608642578;-54.20392608642578
3.942499999999997;-54.28139877319336;-54.28139877319336
3.9899999999999967;-54.32341766357422;-54.32341766357422
4.037499999999997;-54.387939453125;-54.387939453125
4.084999999999997;-54.422698974609375;-54.422698974609375
4.132499999999998;-54.5167121887207;-54.5167121887207
4.179999999999998;-54.579345703125;-54.579345703125
4.227499999999998;-54.58173751831055;-54.58173751831055
4.274999999999999;-54.641815185546875;-54.641815185546875
4.322499999999999;-54.70068359375;-54.70068359375
4.369999999999999;-54.73514175415039;-54.73514175415039
4.4174999999999995;-54.79502487182617;-54.79502487182617
4.465;-54.857147216796875;-54.857147216796875
4.5125;-54.918296813964844;-54.918296813964844
4.5600000000000005;-54.94718551635742;-54.94718551635742
4.607500000000001;-54.90434265136719;-54.90434265136719
4.655000000000001;-55.02130889892578;-55.02130889892578
4.7025000000000015;-55.03276824951172;-55.03276824951172
4.750000000000002;-55.032588958740234;-55.032588958740234
4.797500000000002;-55.07307815551758;-55.07307815551758
4.845000000000002;-55.18735885620117;-55.18735885620117
4.892500000000003;-55.18513488769531;-55.18513488769531
4.940000000000003;-55.304351806640625;-55.304351806640625
4.987500000000003;-55.29865646362305;-55.29865646362305
5.035000000000004;-55.39170837402344;-55.39170837402344
5.082500000000004;-55.41991424560547;-55.41991424560547
5.130000000000004;-55.51129913330078;-55.51129913330078
5.177500000000005;-55.48759078979492;-55.48759078979492
5.225000000000005;-55.60740280151367;-55.60740280151367
5.272500000000005;-55.649635314941406;-55.649635314941406
5.320000000000006;-55.647804260253906;-55.647804260253906
5.367500000000006;-55.718997955322266;-55.718997955322266
5.415000000000006;-55.78592300415039;-55.78592300415039
5.462500000000007;-55.8516731262207;-55.8516731262207
5.510000000000007;-55.88712692260742;-55.88712692260742
5.557500000000007;-55.90371322631836;-55.90371322631836
5.6050000000000075;-55.978816986083984;-55.978816986083984
5.652500000000008;-56.04461669921875;-56.04461669921875
5.700000000000008;-56.12368392944336;-56.12368392944336
5.7475000000000085;-56.16194152832031;-56.16194152832031
5.795000000000009;-56.19335174560547;-56.19335174560547
5.842500000000009;-56.290306091308594;-56.290306091308594
5.8900000000000095;-56.3285026550293;-56.3285026550293
5.93750000000001;-56.386775970458984;-56.386775970458984
5.98500000000001;-56.44072723388672;-56.44072723388672
6.03250000000001;-56.46616744995117;-56.46616744995117
6.080000000000011;-56.51541519165039;-56.51541519165039
6.127500000000011;-56.58297348022461;-56.58297348022461
6.175000000000011;-56.57218551635742;-56.57218551635742
6.222500000000012;-56.64924240112305;-56.64924240112305
6.270000000000012;-56.713890075683594;-56.713890075683594
6.317500000000012;-56.70785903930664;-56.70785903930664
6.365000000000013;-56.79386520385742;-56.79386520385742
6.412500000000013;-56.82658004760742;-56.82658004760742
6.460000000000013;-56.85996627807617;-56.85996627807617
6.507500000000014;-56.97734069824219;-56.97734069824219
6.555000000000014;-57.02071762084961;-57.02071762084961
6.602500000000014;-56.947513580322266;-56.947513580322266
6.650000000000015;-57.080055236816406;-57.080055236816406
6.697500000000015;-57.163089752197266;-57.163089752197266
6.745000000000015;-57.22129821777344;-57.22129821777344
