Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;2900000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;2900000000.000000;Hz
Stop;2900000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0;-53.708145141601563;-53.708145141601563
0.047500000000000001;-53.709415435791016;-53.709415435791016
0.095000000000000001;-53.719783782958984;-53.719783782958984
0.14250000000000002;-53.724884033203125;-53.724884033203125
0.19;-53.698863983154297;-53.698863983154297
0.23749999999999999;-53.694408416748047;-53.694408416748047
0.28499999999999998;-53.736366271972656;-53.736366271972656
0.33249999999999996;-53.725612640380859;-53.725612640380859
0.37999999999999995;-53.709415435791016;-53.709415435791016
0.42749999999999994;-53.778781890869141;-53.778781890869141
0.47499999999999992;-53.759006500244141;-53.759006500244141
0.52249999999999996;-53.775302886962891;-53.775302886962891
0.56999999999999995;-53.764495849609375;-53.764495849609375
0.61749999999999994;-53.827484130859375;-53.827484130859375
0.66499999999999992;-53.856655120849609;-53.856655120849609
0.71249999999999991;-53.867565155029297;-53.867565155029297
0.7599999999999999;-53.910831451416016;-53.910831451416016
0.80749999999999988;-53.919582366943359;-53.919582366943359
0.85499999999999987;-53.954494476318359;-53.954494476318359
0.90249999999999986;-53.991020202636719;-53.991020202636719
0.94999999999999984;-54.024192810058594;-54.024192810058594
0.99749999999999983;-54.099464416503906;-54.099464416503906
1.0449999999999999;-54.145347595214844;-54.145347595214844
1.0925;-54.176376342773438;-54.176376342773438
1.1400000000000001;-54.170490264892578;-54.170490264892578
1.1875000000000002;-54.295265197753906;-54.295265197753906
1.2350000000000003;-54.356052398681641;-54.356052398681641
1.2825000000000004;-54.430229187011719;-54.430229187011719
1.3300000000000005;-54.462841033935547;-54.462841033935547
1.3775000000000006;-54.558319091796875;-54.558319091796875
1.4250000000000007;-54.635543823242187;-54.635543823242187
1.4725000000000008;-54.667266845703125;-54.667266845703125
1.5200000000000009;-54.724803924560547;-54.724803924560547
1.567500000000001;-54.708145141601563;-54.708145141601563
1.6150000000000011;-54.700828552246094;-54.700828552246094
1.6625000000000012;-54.744987487792969;-54.744987487792969
1.7100000000000013;-54.803043365478516;-54.803043365478516
1.7575000000000014;-54.862796783447266;-54.862796783447266
1.8050000000000015;-54.969417572021484;-54.969417572021484
1.8525000000000016;-55.032737731933594;-55.032737731933594
1.9000000000000017;-55.104969024658203;-55.104969024658203
1.9475000000000018;-55.112316131591797;-55.112316131591797
1.9950000000000019;-55.182994842529297;-55.182994842529297
2.0425000000000018;-55.246345520019531;-55.246345520019531
2.0900000000000016;-55.329669952392578;-55.329669952392578
2.1375000000000015;-55.330593109130859;-55.330593109130859
2.1850000000000014;-55.4140625;-55.4140625
2.2325000000000013;-55.482456207275391;-55.482456207275391
2.2800000000000011;-55.551582336425781;-55.551582336425781
2.327500000000001;-55.569370269775391;-55.569370269775391
2.3750000000000009;-55.588302612304688;-55.588302612304688
2.4225000000000008;-55.727344512939453;-55.727344512939453
2.4700000000000006;-55.894435882568359;-55.894435882568359
2.5175000000000005;-56.043697357177734;-56.043697357177734
2.5650000000000004;-56.188102722167969;-56.188102722167969
2.6125000000000003;-56.277988433837891;-56.277988433837891
2.6600000000000001;-56.360939025878906;-56.360939025878906
