Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;2900000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;2900000000.000000;Hz
Stop;2900000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
0.0;-60.31386184692383;-60.31386184692383
0.0475;-60.4083137512207;-60.4083137512207
0.095;-60.3175048828125;-60.3175048828125
0.14250000000000002;-60.40591049194336;-60.40591049194336
0.19;-60.3520622253418;-60.3520622253418
0.2375;-60.40241622924805;-60.40241622924805
0.285;-60.362518310546875;-60.362518310546875
0.33249999999999996;-60.37279510498047;-60.37279510498047
0.37999999999999995;-60.42270278930664;-60.42270278930664
0.42749999999999994;-60.410343170166016;-60.410343170166016
0.4749999999999999;-60.35609817504883;-60.35609817504883
0.5225;-60.30765914916992;-60.30765914916992
0.57;-60.3491325378418;-60.3491325378418
0.6174999999999999;-60.317691802978516;-60.317691802978516
0.6649999999999999;-60.395965576171875;-60.395965576171875
0.7124999999999999;-60.3760986328125;-60.3760986328125
0.7599999999999999;-60.37260818481445;-60.37260818481445
0.8074999999999999;-60.35096740722656;-60.35096740722656
0.8549999999999999;-60.24991989135742;-60.24991989135742
0.9024999999999999;-60.389522552490234;-60.389522552490234
0.9499999999999998;-60.319149017333984;-60.319149017333984
0.9974999999999998;-60.36417007446289;-60.36417007446289
1.045;-60.36123275756836;-60.36123275756836
1.0925;-60.34895324707031;-60.34895324707031
1.1400000000000001;-60.34529113769531;-60.34529113769531
1.1875000000000002;-60.43601608276367;-60.43601608276367
1.2350000000000003;-60.49399948120117;-60.49399948120117
1.2825000000000004;-60.4896240234375;-60.4896240234375
1.3300000000000005;-60.434532165527344;-60.434532165527344
1.3775000000000006;-60.5242805480957;-60.5242805480957
1.4250000000000007;-60.637237548828125;-60.637237548828125
1.4725000000000008;-60.69187545776367;-60.69187545776367
1.520000000000001;-60.794288635253906;-60.794288635253906
1.567500000000001;-60.85717010498047;-60.85717010498047
1.615000000000001;-61.04914474487305;-61.04914474487305
1.6625000000000012;-61.23503112792969;-61.23503112792969
1.7100000000000013;-61.57625961303711;-61.57625961303711
1.7575000000000014;-62.127220153808594;-62.127220153808594
1.8050000000000015;-62.2899284362793;-62.2899284362793
1.8525000000000016;-62.55061340332031;-62.55061340332031
1.9000000000000017;-62.86354064941406;-62.86354064941406
1.9475000000000018;-63.10226058959961;-63.10226058959961
1.9950000000000019;-63.3896598815918;-63.3896598815918
2.0425000000000018;-63.91099166870117;-63.91099166870117
2.0900000000000016;-64.08517456054688;-64.08517456054688
2.1375000000000015;-64.522216796875;-64.522216796875
2.1850000000000014;-64.93788146972656;-64.93788146972656
2.2325000000000013;-65.16455841064453;-65.16455841064453
2.280000000000001;-65.4443130493164;-65.4443130493164
2.327500000000001;-65.54398345947266;-65.54398345947266
2.375000000000001;-65.79472351074219;-65.79472351074219
2.4225000000000008;-66.02558898925781;-66.02558898925781
2.4700000000000006;-66.26219940185547;-66.26219940185547
2.5175000000000005;-66.49964904785156;-66.49964904785156
2.5650000000000004;-66.5560302734375;-66.5560302734375
2.6125000000000003;-66.79058837890625;-66.79058837890625
2.66;-66.79850769042969;-66.79850769042969
2.7075;-67.19828796386719;-67.19828796386719
2.755;-67.2574462890625;-67.2574462890625
