Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;2700000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;2700000000.000000;Hz
Stop;2700000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;1891;
3.942499999999997;-48.396793365478516;-48.396793365478516
3.9899999999999967;-48.37063980102539;-48.37063980102539
4.037499999999997;-48.33576965332031;-48.33576965332031
4.084999999999997;-48.29356384277344;-48.29356384277344
4.132499999999998;-48.28208923339844;-48.28208923339844
4.179999999999998;-48.24332046508789;-48.24332046508789
4.227499999999998;-48.23758316040039;-48.23758316040039
4.274999999999999;-48.232032775878906;-48.232032775878906
4.322499999999999;-48.212642669677734;-48.212642669677734
4.369999999999999;-48.17802429199219;-48.17802429199219
4.4174999999999995;-48.14043426513672;-48.14043426513672
4.465;-48.12599182128906;-48.12599182128906
4.5125;-48.12581253051758;-48.12581253051758
4.5600000000000005;-48.134765625;-48.134765625
4.607500000000001;-48.18960952758789;-48.18960952758789
4.655000000000001;-48.20341873168945;-48.20341873168945
4.7025000000000015;-48.1971549987793;-48.1971549987793
4.750000000000002;-48.17544937133789;-48.17544937133789
4.797500000000002;-48.173614501953125;-48.173614501953125
4.845000000000002;-48.162601470947266;-48.162601470947266
4.892500000000003;-48.1123046875;-48.1123046875
4.940000000000003;-48.100643157958984;-48.100643157958984
4.987500000000003;-48.0742073059082;-48.0742073059082
5.035000000000004;-48.0391731262207;-48.0391731262207
5.082500000000004;-47.979618072509766;-47.979618072509766
5.130000000000004;-47.979068756103516;-47.979068756103516
5.177500000000005;-47.92302703857422;-47.92302703857422
5.225000000000005;-47.79609680175781;-47.79609680175781
5.272500000000005;-47.74884796142578;-47.74884796142578
5.320000000000006;-47.67892074584961;-47.67892074584961
5.367500000000006;-47.583343505859375;-47.583343505859375
5.415000000000006;-47.48625183105469;-47.48625183105469
5.462500000000007;-47.41115951538086;-47.41115951538086
5.510000000000007;-47.34344482421875;-47.34344482421875
5.557500000000007;-47.283164978027344;-47.283164978027344
5.6050000000000075;-47.232666015625;-47.232666015625
5.652500000000008;-47.15874099731445;-47.15874099731445
5.700000000000008;-47.18373489379883;-47.18373489379883
5.7475000000000085;-47.146175384521484;-47.146175384521484
5.795000000000009;-47.134315490722656;-47.134315490722656
5.842500000000009;-47.09706497192383;-47.09706497192383
5.8900000000000095;-47.05205154418945;-47.05205154418945
5.93750000000001;-47.05021286010742;-47.05021286010742
5.98500000000001;-47.04653549194336;-47.04653549194336
6.03250000000001;-47.02009963989258;-47.02009963989258
6.080000000000011;-47.00069046020508;-47.00069046020508
6.127500000000011;-47.00325012207031;-47.00325012207031
6.175000000000011;-47.01313781738281;-47.01313781738281
6.222500000000012;-46.991363525390625;-46.991363525390625
6.270000000000012;-46.99940872192383;-46.99940872192383
6.317500000000012;-46.970924377441406;-46.970924377441406
6.365000000000013;-46.97676086425781;-46.97676086425781
6.412500000000013;-46.97220230102539;-46.97220230102539
6.460000000000013;-46.9846076965332;-46.9846076965332
6.507500000000014;-46.95708084106445;-46.95708084106445
6.555000000000014;-46.98734664916992;-46.98734664916992
6.602500000000014;-46.97111129760742;-46.97111129760742
6.650000000000015;-46.997581481933594;-46.997581481933594
6.697500000000015;-47.0081901550293;-47.0081901550293
